OID_,Id,Join_Cou_1,Join_Cou_2,Join_Cou_3,Join_Cou_4,Join_Cou_5,Join_Cou_6,Join_Cou_7,Join_Cou_8,Join_Cou_9,Join_Co_10,Join_Co_11,Join_Co_12,Join_Co_13,Join_Co_14,Join_Co_15,distance
360,0,0,2,0,0,1,0,0,0,6,2,0,0,0,0,1,65103
361,0,0,4,56,0,0,0,2,116,13,30,0,0,1,0,8,63427
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62532
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62453
364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63192
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64722
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66987
367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69917
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73432
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77453
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81905
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86721
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91845
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97228
