OID_,Id,Join_Cou_1,Join_Cou_2,Join_Cou_3,Join_Cou_4,Join_Cou_5,Join_Cou_6,Join_Cou_7,Join_Cou_8,Join_Cou_9,Join_Co_10,Join_Co_11,Join_Co_12,Join_Co_13,Join_Co_14,Join_Co_15,distance,POI_Number,POI_Mixture
45,0,16,10,128,0,1,0,0,42,8,440,0,0,57,0,5,78568,645,1.9730014063936128
46,0,0,9,88,0,0,0,2,12,7,285,0,0,32,0,2,72376,403,1.7480673485460891
47,0,0,12,112,0,0,0,0,30,10,267,1,0,30,0,5,66379,431,1.4978661367769952
48,0,0,0,31,0,0,0,0,3,3,198,0,0,1,0,1,60638,235,1.0888999753452235
49,0,0,11,69,0,1,0,0,4,4,278,0,0,2,0,1,55232,367,1.6094379124341
50,0,0,2,59,0,0,0,0,2,3,192,0,0,1,0,3,50268,258,1.3592367006650063
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45890,0,-0.0
52,0,0,0,3,0,0,0,0,0,1,2,0,0,3,0,0,42282,6,0.9404479886553263
53,0,18,14,324,0,0,1,0,226,12,364,0,0,27,0,37,39653,959,1.9730014063936128
54,0,0,18,265,0,0,0,1,21,12,581,0,1,36,0,10,38206,898,1.7480673485460891
55,0,0,6,50,0,2,0,0,2,10,59,0,0,63,0,7,38076,129,1.6094379124341
56,0,0,5,52,0,0,0,0,2,6,53,0,0,20,0,2,39277,118,1.4978661367769952
57,0,0,0,26,0,0,0,2,6,7,17,0,0,8,0,4,41693,58,1.4978661367769952
58,0,4,37,408,2,2,0,2,56,9,684,0,1,23,0,6,45129,1204,1.9730014063936128
59,0,0,21,259,0,2,1,0,189,3,361,0,0,15,0,0,49374,836,1.9730014063936128
60,0,4,19,146,6,1,0,0,43,2,365,0,3,30,1,0,54238,586,2.163955656882057
61,0,0,5,95,0,1,0,1,9,3,186,0,0,17,0,4,59568,300,1.8343719702816235
62,0,0,1,80,0,0,0,1,0,5,205,1,0,15,0,4,65252,292,1.3592367006650063
63,0,0,0,12,0,0,0,0,1,2,77,0,0,3,0,2,71204,92,1.2275294114572126
64,0,0,3,35,0,0,0,0,2,4,135,0,0,0,0,7,77362,179,1.4978661367769952
65,0,0,2,31,0,0,0,0,0,3,110,0,0,0,0,7,83682,146,1.2275294114572126
66,0,0,2,50,0,1,0,1,23,20,111,0,0,13,0,2,81961,208,1.8343719702816235
67,0,12,14,181,0,0,0,0,238,5,199,0,0,38,0,15,75366,649,1.7480673485460891
68,0,4,73,622,5,2,1,4,25,16,697,0,0,85,0,19,68886,1449,2.163955656882057
69,0,16,90,575,7,10,1,1,114,8,1120,0,0,106,0,17,62557,1942,2.163955656882057
70,0,0,7,163,0,0,0,3,12,13,430,0,0,27,0,3,56428,628,1.7480673485460891
71,0,0,14,185,0,4,0,2,10,9,551,0,0,24,0,8,50573,775,1.9730014063936128
72,0,20,42,454,0,9,2,3,46,8,953,0,0,43,0,13,45099,1537,2.3025850929940455
73,0,10,101,634,1,0,0,9,41,39,970,0,1,61,0,48,40163,1805,2.163955656882057
74,0,8,69,413,1,26,0,5,34,9,542,1,0,73,0,25,35984,1107,2.3025850929940455
75,0,0,12,126,0,3,0,1,22,3,188,0,0,42,0,3,32855,355,1.8343719702816235
76,0,0,26,287,0,1,0,1,14,7,558,0,2,42,0,8,31093,894,1.8343719702816235
77,0,0,80,228,9,18,0,3,102,40,200,0,3,80,0,21,30934,680,2.163955656882057
78,0,0,19,233,0,1,0,3,23,10,446,1,2,51,0,13,32400,735,1.9730014063936128
79,0,0,6,16,1,0,0,0,9,7,12,0,0,3,0,1,35290,51,1.7480673485460891
80,0,0,1,73,0,0,0,0,5,1,178,0,0,0,0,1,39291,258,1.3592367006650063
81,0,0,0,34,0,0,0,0,0,4,147,0,0,3,0,0,44101,185,0.9404479886553263
82,0,0,0,33,0,0,0,0,10,1,84,0,0,16,0,0,49486,128,1.2275294114572126
83,0,48,241,2430,13,5,4,12,172,28,3771,1,0,187,0,98,55276,6724,2.3025850929940455
84,0,0,3,16,0,3,0,1,1,4,63,0,0,13,0,1,61359,91,1.6957425341696346
85,0,0,6,58,0,1,0,0,0,4,152,0,0,0,0,5,67654,221,1.4978661367769952
86,0,0,0,9,0,0,0,0,0,3,40,0,0,0,0,1,74108,52,0.9404479886553263
